,Age,Gender,DaysDrink,Overdrawn
184,18,Female,0,0
185,19,Male,4,0
186,18,Female,15,0
187,19,Male,20,0
188,19,Female,12,0
189,19,Male,21,0
190,20,Female,7,1
191,20,Male,19,0
192,20,Female,0,0
193,20,Female,1,0
194,21,Male,9,0
195,20,Female,0,0
196,19,Female,10,0
197,18,M,0,0
198,18,Female,0,0
199,20,Female,4,0
200,20,Male,13,0
201,19,Male,0,0
202,19,Male,8,0
203,19,Male,15,0
204,19,Female,10,0
205,20,Female,3,0
206,24,Female,0,0
207,19,F,3,0
208,18,Female,17,0
209,20,Female,10,0
210,19,Male,0,0
211,19,Male,9,0
212,20,Male,0,0
213,19,Female,4,0
214,22,Male,8,1
215,20,Female,1,0
216,19,Male,0,0
217,20,Male,5,0
218,19,Male,4,0
219,18,Female,0,0
220,18,Female,15,0
221,20,NA,8,0
222,19,Male,30,0
223,22,Male,0,0
224,18,Female,15,0
225,23,Female,5,1
226,21,Male,6,0
227,18,Female,10,0
228,19,Female,15,0
229,20,Male,5,0
230,19,Male,5,0
231,20,Female,19,1
232,18,Female,11,0
233,18,Male,10,0
234,18,Male,0,0
235,21,Male,24,0
236,21,Female,0,0
237,19,Female,11,1
238,20,Female,2,0
239,22,Female,1,0
240,18,Male,15,0
241,19,Female,0,0
242,19,Male,15,0
243,23,Female,0,0
244,21,Male,15,0
245,18,Female,25,1
246,19,Male,0,0
247,21,Female,8,0
248,20,Male,0,0
249,19,Female,1,0
250,20,Female,0,0
251,19,Male,27,0
252,18,Female,5,0
253,19,Female,0,0
254,20,Male,10,1
255,19,Male,13,1
256,23,Female,11,0
257,22,Male,1,0
258,20,Male,0,0
259,22,Female,10,0
260,19,Female,22,0
261,20,Male,20,0
262,21,Female,20,1
263,19,Female,6,0
264,19,Female,0,0
265,20,Female,1,0
266,19,Female,0,0
267,24,Male,1,1
268,20,Female,15,1
269,20,Female,3,0
270,24,Male,30,0
271,22,Male,30,0
272,NA,Female,0,1
273,21,Male,30,0
274,22,Male,9,0
275,22,Female,1,0
276,20,Male,0,0
277,21,Male,2,0
278,19,Male,15,0
279,19,Female,0,0
280,22,Male,3,0
281,19,Female,16,0
282,20,Male,4,0
283,21,Male,2,0
284,20,Female,2,0
285,20,Female,0,0
286,20,Male,10,1
287,20,Female,4,0
288,21,Male,2,0
289,20,Female,0,1
290,19,Female,7,1
291,18,Female,10,0
292,NA,Female,0,0
293,19,Female,0,0
294,18,Male,10,0
295,21,Female,2,1
296,18,Female,1,0
297,25,Male,10,0
298,19,Female,1,0
299,20,Male,2,0
300,19,Female,3,0
301,21,Male,19,0
302,20,Male,0,0
303,20,Male,2,0
304,19,Female,0,0
305,19,Female,10,0
306,19,Female,4,0
307,19,Female,0,0
308,20,Male,0,0
309,19,Female,0,0
310,19,Female,0,0
311,21,Male,1,0
312,19,Female,5,0
313,24,Female,25,0
314,25,Female,0,0
315,22,Female,0,0
316,23,Male,0,0
317,20,Female,2,0
318,24,Female,5,1
319,19,Male,10,0
320,24,Female,2,0
321,19,Female,20,0
322,23,Male,3,0
323,25,Female,0,0
324,NA,Female,0,0
325,21,Female,10,1
326,19,Male,0,0
327,20,Male,30,0
328,21,Male,4,0
329,22,Female,0,1
330,18,Female,0,0
331,18,Male,8,0
332,20,M,3,0
333,19,Male,10,0
334,19,Male,18,0
335,19,Female,0,0
336,19,Male,5,0
337,23,Male,0,0
338,20,Male,1,1
339,19,Female,0,0
340,19,F,15,0
341,20,Male,0,0
342,21,Female,0,0
343,19,Male,2,0
344,18,Female,13,1
345,20,Male,10,0
346,21,Male,0,0
347,18,Female,0,0
348,19,Male,3,0
349,19,Male,3,0
350,19,Female,0,0
351,19,Female,0,0
352,20,Female,2,0
353,19,F,1,0
354,19,Female,7,0
355,19,Female,0,1
356,19,Male,5,0
357,19,Female,12,0
358,19,Female,15,0
359,19,Male,0,0
360,19,Female,0,0
361,18,Female,0,0
362,20,Male,1,0
363,19,Female,3,0
364,22,Female,0,0
365,NA,Female,0,0
366,20,Female,20,1
367,21,Male,0,0
368,18,Female,0,0
369,NA,Female,30,0
370,19,Male,14,0
371,22,Female,7,0
372,19,Female,16,0
373,19,Male,24,0
374,20,Male,4,0
375,18,Female,0,0
376,18,Female,13,1
377,19,Female,1,0
378,19,Female,2,0
379,19,Female,15,0
380,19,Male,21,0
381,20,Male,12,1
382,19,Female,0,0
383,20,Male,1,0
384,22,Female,5,0
385,18,Female,0,0
386,20,Female,5,0
387,NA,Female,10,1
388,19,Male,0,0
389,21,Male,20,0
390,19,Male,25,0
391,18,Female,12,0
392,18,Female,0,0
393,19,Male,1,0
394,21,Female,20,1
395,19,Male,3,0
396,18,Female,8,0
397,20,Male,12,1
398,22,Male,26,0
399,19,Female,12,0
400,18,Female,15,0
401,20,Male,13,0
402,19,Female,12,0
403,19,Male,24,0
404,20,Male,10,0
405,19,Female,19,0
406,18,Female,10,0
407,19,Male,23,1
408,22,Male,18,0
409,20,Male,25,0
410,21,Male,2,0
411,18,Female,15,0
412,18,Female,15,0
413,19,Male,0,0
414,19,Female,12,1
415,20,Female,20,0
416,18,Male,7,0
417,18,Female,10,1
418,18,Female,10,1
419,19,Female,12,0
420,21,Female,0,1
421,19,Female,0,0
422,19,Female,6,0
423,19,Female,0,0
424,19,Male,4,NA
425,20,Male,0,0
426,20,Male,6,0
427,18,Female,0,0
428,22,Male,1,0
429,20,Male,12,0
430,19,Female,1,0
431,18,Female,10,0
432,20,Male,1,0
433,19,Male,4,0
434,20,Male,1,0
435,20,Female,26,1
436,19,Male,5,0
437,18,Female,0,0
438,21,Female,10,0
439,19,Female,3,1
440,19,Female,6,0
441,20,Male,10,0
442,18,Female,3,0
443,19,Male,12,1
444,19,Female,11,0
445,19,Male,8,1
446,19,Female,1,0
447,18,Male,0,0
448,20,Female,8,1
449,19,Female,8,0
450,20,Male,0,0
